SITE_NAME,CELL_ID,RAT,AREA,BANDWIDTH,USER_COUNT,PRB_UTILIZATION,BEFORE_MML_RATE,AFTER_MML_RATE,gain,has_begbr,has_dacq,has_fwa,has_rrc,begbr_BestEffortGbr,dacq_DlAmbrLimitFirstRank,dacq_DlAmbrLimitSecRank,dacq_DlAmbrLimitThirdRank,fwa_DlExpBasedSchGuarUserRate,fwa_DlSchPriCoefficient,rrc_res0_limit_num,source
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,25,LTE,YLYIF,10,71,0.91,3.54,5.06,1.5199999999999996,1,1,0,0,7000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,439,0.96,3.44,3.24,-0.1999999999999997,1,1,0,0,7000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,25,LTE,YLYIF,10,77,0.92,5.38,6.06,0.6799999999999997,1,1,0,0,7000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,3,0.04,10.99,7.63,-3.3600000000000003,0,0,1,0,0,0,0,0,20000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,207,NR,YLYIF,10,18,0.69,15.79,16.91,1.120000000000001,0,0,1,0,0,0,0,0,20000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,307,NR,YLYIF,10,10,0.37,12.19,19.26,7.070000000000002,0,0,1,0,0,0,0,0,20000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,94,0.92,4.69,4.2,-0.4900000000000002,1,1,0,0,12000,3500000,3499999,3499998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,399,0.97,3.24,3.81,0.5699999999999998,1,1,0,0,12000,3500000,3499999,3499998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,3,0.05,7.63,8.34,0.71,0,0,1,0,0,0,0,0,35000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,382,0.97,3.81,4.28,0.4700000000000002,1,1,0,0,14000,3200000,3199999,3199998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,107,NR,YLYIF,10,3,0.06,8.34,7.98,-0.3599999999999994,0,0,1,0,0,0,0,0,38000,5000,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,15,LTE,YLYIF,10,7,0.13,5.15,10.09,4.94,1,1,0,0,7000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,66,0.69,3.99,5.43,1.4399999999999995,1,1,0,0,7000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,88,0.91,4.55,4.89,0.3399999999999998,1,1,0,0,8400,4600000,4599999,4599998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,388,0.97,3.67,4.71,1.04,1,1,0,0,10500,4000000,3999999,3999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,23,LTE,YLYIF,20,194,0.97,4.74,6.0,1.2599999999999998,1,1,0,0,10500,4000000,3999999,3999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,25,LTE,YLYIF,10,78,0.82,5.4,6.83,1.4299999999999995,1,1,0,0,10500,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,236,0.79,0.35,10.8,10.45,1,1,0,0,10000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,340,0.96,6.31,5.3,-1.0099999999999998,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,25,LTE,YLYIF,10,77,0.8,6.43,8.03,1.5999999999999996,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,22,LTE,YLYIF,20,343,0.97,5.3,4.86,-0.4399999999999995,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,23,LTE,YLYIF,20,173,0.98,7.99,6.11,-1.88,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,15,LTE,YLYIF,10,8,0.09,6.76,16.66,9.9,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
YLYIF_002_Tin_Yiu_I_Estate_Yiu_Hong_House_SUB6G,20,LTE,YLYIF,10,89,0.85,5.03,3.15,-1.8800000000000003,1,1,0,0,14000,5000000,4999999,4999998,0,0,0,db
